screen,on,1571935289413
screen,on,1571935289705
screen,off,1571935430729
screen,on,1571935437739
screen,off,1571935477033
screen,on,1571935478025
screen,on,1571935479868
screen,on,,1571935565934
screen,on,,1571935569024
screen,off,,1571935620426
screen,on,,1571935686451
screen,off,,1571935746489
screen,on,,1571935828619
screen,off,,1571935888909
screen,on,,1571936046712
screen,off,,1571936064857
screen,off,,1571936094042
screen,on,,1571936152916
screen,off,,1571936166083
screen,on,,1571936313797
screen,off,,1571936357546
screen,off,,1571936505960
screen,on,,1571936512682
screen,off,,1571936526097
screen,on,,1571936694933
screen,on,,1571936700344
screen,off,,1571936707669
screen,off,,1571937024289
screen,on,,1571937172461
screen,off,,1571937183729
screen,off,,1571937482475
screen,on,,1571937546114
screen,off,,1571937588778
screen,on,,1571937617119
screen,on,,1571937677143
screen,off,,1571937684834
screen,on,,1571937699056
screen,off,,1571937813276
screen,on,,1571937857374
screen,off,,1571937865044
screen,on,,1571937876652
screen,off,,1571937891317
screen,on,,1571938325760
screen,off,,1571938340078
screen,on,,1571938454097
screen,off,,1571938472306
screen,on,,1571938520774
screen,off,,1571938638909
screen,off,,1571938652511
screen,off,,1571938672873
screen,off,,1571939206236
screen,off,,1571939374170
screen,off,,1571939379373
screen,off,,1571939387510
screen,off,,1571939502512
screen,off,,1571939595048
screen,on,,1571939611726
screen,off,,1571939621494
screen,on,,1571939797291
screen,off,,1571939807103
screen,off,,1571939859218
screen,on,,1571939957025
screen,off,,1571939978878
screen,off,,1571940012312
screen,on,,1571940500229
screen,off,,1571940514706
screen,off,,1571941019636
screen,off,,1571941237834
screen,off,,1571941393258
screen,on,,1571941475566
screen,off,,1571941955966
screen,on,,1571942074940
screen,off,,1571942099008
screen,on,,1571942389750
screen,off,,1571942425950
screen,on,,1571942430285
screen,off,,1571942454613
screen,on,,1571942639531
screen,off,,1571942673045
screen,on,,1571942705084
screen,off,,1571942728864
screen,off,,1571942831837
screen,off,,1571942948696
screen,off,,1571943041773
screen,off,,1571943118648
screen,on,,1571943457240
screen,off,,1571943519209
screen,off,,1571943636949
screen,on,,1571943650389
screen,off,,1571943690427
screen,off,,1571943705431
screen,on,,1571947116401
screen,off,,1571947171912
screen,on,,1571949736727
screen,on,,1571949769605
screen,off,,1571949777374
screen,on,,1571950970038
screen,off,,1571951010588
screen,off,,1571951230715
screen,off,,1571951782138
screen,off,,1571952934384
screen,on,,1571952966544
screen,off,,1571954594795
screen,off,,1571954606829
screen,off,,1571954872213
screen,off,,1571954934603
screen,off,,1571955099297
screen,on,,1571955308088
screen,off,,1571955345606
screen,on,,1571955348092
screen,off,,1571955352921
screen,off,,1571955390869
screen,on,,1571955571002
screen,off,,1571955589457
screen,off,,1571955602097
screen,on,,1571955799275
screen,off,,1571955956514
screen,on,,1571955996318
screen,off,,1571956302247
screen,on,,1571956902911
screen,off,,1571956912557
screen,on,,1571957863174
screen,off,,1571957887515
screen,on,,1571958529202
screen,off,,1571958571572
screen,on,,1571958619844
screen,off,,1571958625805
screen,on,,1571958656997
screen,off,,1571958687468
screen,on,,1571958915700
screen,off,,1571958942491
screen,on,,1571959090199
screen,off,,1571959126008
screen,on,,1571959184363
screen,off,,1571959235541
screen,off,,1571959525020
screen,off,,1571959533082
screen,on,,1571959711965
screen,off,,1571959725400
screen,on,,1571959736679
screen,off,,1571959916473
screen,off,,1571959932066
screen,on,,1571959955761
screen,off,,1571960005403
screen,on,,1571960836620
screen,off,,1571960972239
screen,on,,1571961012077
screen,on,,1571961194301
screen,off,,1571961202254
screen,on,,1571961348194
screen,off,,1571961402248
screen,on,,1571961453910
screen,off,,1571961783414
screen,on,,1571961874536
screen,off,,1571961882079
screen,off,,1571961898643
screen,off,,1571962455913
screen,on,,1571964557518
screen,off,,1571964637522
screen,on,,1571965046937
screen,off,,1571965088958
screen,on,,1571965157989
screen,on,,1571965226159
screen,off,,1571965272508
screen,on,,1571968309716
screen,off,,1571968384777
screen,on,,1571968717026
screen,off,,1571969340487
screen,on,,1571969398336
screen,off,,1571969416720
screen,off,,1571969584872
screen,on,,1571969589907
screen,off,,1571969623471
screen,on,,1571969804602
screen,off,,1571969891584
screen,off,,1571969947814
screen,off,,1571969958196
screen,on,,1571969972809
screen,off,,1571970042506
screen,on,,1571970084553
screen,off,,1571970112542
screen,on,,1571970335307
screen,off,,1571970378539
screen,on,,1571970494469
screen,off,,1571970512715
screen,on,,1571970640341
screen,off,,1571970694673
screen,on,,1571971072126
screen,off,,1571971093563
screen,on,,1571971217745
screen,off,,1571971322291
screen,off,,1571971575066
screen,on,,1571971599714
screen,off,,1571971628805
screen,on,,1571971665043
screen,off,,1571971696598
screen,on,,1571971701921
screen,on,,1571971765544
screen,off,,1571971848000
screen,off,,1571971851319
screen,off,,1571971863781
screen,on,,1571971929614
screen,on,,1571972012957
screen,off,,1571972020673
screen,on,,1571972065128
screen,off,,1571972076309
screen,off,,1571972088809
screen,on,,1571972127489
screen,off,,1571972248903
screen,on,,1571972398168
screen,off,,1571972403753
screen,off,,1571972442559
screen,off,,1571972488853
screen,on,,1571972522436
screen,on,,1571972543320
screen,on,,1571972605995
screen,off,,1571972667826
screen,on,,1571972677032
screen,off,,1571972715071
screen,off,,1571972738876
screen,off,,1571972753643
screen,off,,1571972787646
screen,off,,1571972856582
screen,off,,1571972881860
screen,off,,1571972906536
screen,on,,1571972925608
screen,off,,1571973007587
screen,on,,1571973040731
screen,off,,1571973099635
screen,on,,1571973239067
screen,off,,1571973301087
screen,on,,1571973555576
screen,off,,1571973564451
screen,off,,1571973616716
screen,off,,1571973867294
screen,off,,1571974113071
screen,off,,1571974289871
screen,off,,1571974306144
screen,off,,1571974331012
screen,off,,1571974372311
screen,on,,1571974391905
screen,off,,1571974425169
screen,on,,1571975271636
screen,off,,1571975275596
screen,off,,1571975412350
screen,on,,1571975463029
screen,off,,1571975794192
screen,off,,1571975803797
screen,off,,1571975893913
screen,off,,1571975942387
screen,on,,1571976123452
screen,off,,1571976130248
screen,on,,1571976533948
screen,off,,1571976610673
screen,off,,1571976850935
screen,on,,1571977163674
screen,off,,1571977387626
screen,off,,1571977601833
screen,off,,1571977701052
screen,on,,1571978885616
screen,on,,1571978919698
screen,off,,1571978928863
screen,off,,1571979424469
screen,off,,1571979434309
screen,on,,1571980497734
screen,off,,1571980516153
screen,off,,1571980813889
screen,on,,1571980814496
screen,off,,1571980820148
screen,on,,1571980821888
screen,on,,1571980941295
screen,on,,1571980955625
screen,on,,1571981059251
screen,on,,1571981061659
screen,on,,1571981066537
screen,on,,1571981068772
screen,on,,1571981141202
screen,off,,1571981150385
screen,on,,1571981150905
screen,on,,1571981161096
screen,on,,1571981225549
screen,off,,1571981228030
screen,on,,1571981234047
screen,off,,1571981295510
screen,off,,1571981320494
screen,off,,1571981328949
screen,on,,1571981366387
screen,on,,1571981368933
screen,off,,1571981384421
screen,on,,1571981513337
screen,off,,1571983681704
screen,off,,1571997453094
screen,on,,1571997468053
screen,off,,1571997494324
screen,off,,1571997547823
screen,off,,1572008420861
